customer_id,customer_name,age,gender,city
1,neha,,male, 
2,meera,-,f,mumbai
3,rohan,,m,nagpur
4,meera,,, 
5,meera, ,female,pune
6,priya, ,m, 
7,meera,-,male,thane
8,priya,,,mumbai
9,meera,-,female,nagpur
10,meera,-,f,nagpur
11,priya,32,male,nashik
12,sai, ,male,thane
13,pratik,-,f,mumbai
14, ,-,male, 
15,sai,31,,nagpur
16,neha, ,female,nagpur
17,priya,,male, 
18,pratik,-,m,nagpur
19,meera, ,male,nashik
20,priya,-,female,mumbai
21,pratik,28,,pune
22,sai,,male,nagpur
23,madhuri,43,,mumbai
24,meera,,female,mumbai
25,sai,,male,pune
26,priya,,male,nagpur
27,meera,37,female, 
28,priya,-,,pune
29,pratik,-,female,nagpur
30,priya,-,f,nashik
31,meera,-,male,thane
32,priya,-,female,nashik
33,madhuri, ,male,thane
34,rohan, ,male, 
35,neha,24,male,nashik
36,meera, ,male,nashik
37,meera,-,,nashik
38,pratik,,female,nagpur
39,rohan,-,m,nagpur
40,akash,-,female,nashik
41,priya, ,female,nagpur
42,akash,,m,mumbai
43,madhuri,37,f,pune
44,meera, ,,nagpur
45,madhuri,,female,nashik
46,neha,,male, 
47,priya,,female,pune
48,madhuri,,male,nashik
49,madhuri,,male,thane
50,pratik, ,male,nagpur
51,rohan,,female,pune
52,madhuri, ,f,pune
53,neha, ,male,nagpur
54,madhuri,-,male,nashik
55,madhuri,,m,thane
56,neha,-,male,nagpur
57, , ,f,nashik
58,madhuri,-,f, 
59,priya,-,male,pune
60,priya,21,f,nagpur
61,madhuri,36,f,nashik
62,akash, ,male,thane
63,madhuri,46,male,pune
64, ,36,f,mumbai
65,meera,48,m,thane
66,madhuri,48,,thane
67, ,-,male, 
68,pratik, ,m,nagpur
69,priya, ,female,thane
70,akash,-,m,nagpur
71, , ,m,nashik
72, ,,,thane
73,sai,-,,pune
74,priya,,male, 
75,madhuri,,m,thane
76,madhuri,-,m,thane
77,madhuri,,male,nashik
78,neha,,f,pune
79,meera, ,female,pune
80,priya,,m, 
81,rohan,,male,thane
82,meera, ,m,thane
83,akash,20,m,mumbai
84,priya,40,m,pune
85,rohan,46,f,nashik
86,pratik,-,male,nagpur
87, ,-,female,pune
88,sai,-,female,pune
89,priya,43,female,pune
90,priya,-,f,mumbai
91,meera,54,f,nagpur
92,pratik,47,f,pune
93, ,56,female,pune
94,rohan,-,m,mumbai
95,meera, ,f, 
96,rohan,33,, 
97,rohan,41,female, 
98,madhuri,-,f,thane
99,priya, ,m,nagpur
100,pratik,-,m,mumbai
101,pratik, ,f, 
102,priya,,female,nashik
103,rohan, ,male, 
104,meera,-,male,mumbai
105, ,32,male,nagpur
106,pratik,-,male,nashik
107,priya, ,female,nagpur
108,rohan,-,f,nashik
109,neha, ,f,pune
110,sai,33,,mumbai
111,priya,,male,pune
112,neha,,male,mumbai
113,pratik, ,,mumbai
114,akash,,,thane
115,meera,57,female,nagpur
116,pratik,31,m, 
117,madhuri,-,male,mumbai
118,rohan,25,, 
119,meera,49,male,nashik
120,sai,,,nagpur
121,neha, ,m,mumbai
122,rohan,28,female,nagpur
123,madhuri,,,pune
124,neha,51,m,nashik
125,sai, ,female,mumbai
126,sai, ,f,nagpur
127,pratik,,male,pune
128,madhuri,23,female,nagpur
129, ,,female,pune
130,akash,28,male, 
131,akash,,,thane
132,neha,55,,nashik
133,madhuri,51,m, 
134,madhuri,-,male, 
135,neha,31,male,nagpur
136,priya, ,m,nashik
137, , ,m,mumbai
138,madhuri,39,, 
139, , ,m,thane
140,rohan, ,m,thane
141,neha,-,m,nagpur
142, ,27,f,pune
143,neha,30,m,nagpur
144,madhuri,36,male,mumbai
145, ,,f,mumbai
146,neha,46,male,mumbai
147,rohan,22,f,nashik
148,madhuri,,f,mumbai
149,neha,,m,thane
150,neha,19,female,nagpur
151,sai, ,female, 
152,madhuri, ,female, 
153,akash,,female, 
154,neha,-,male,thane
155,priya,,,nashik
156,sai,33,female,nagpur
157,neha, ,m,thane
158,pratik,31,female,nashik
159,priya, ,female,mumbai
160,neha,43,female,pune
161,madhuri,21,f,pune
162,neha, ,, 
163,rohan,33,female,nagpur
164,priya,-,,mumbai
165,meera,41,male,nashik
166,pratik, ,male,mumbai
167,pratik,,f,mumbai
168,rohan, ,male, 
169,meera,-,f,nashik
170, , ,f,mumbai
171,rohan, ,,nagpur
172,sai,,f, 
173,sai,,f,mumbai
174,meera,60,, 
175,rohan,-,f,pune
176,pratik,26,female,pune
177,priya, ,f,nashik
178,meera,,f,thane
179,meera,,female, 
180,rohan,,female,nagpur
181,sai, ,female,pune
182,pratik,,female,nashik
183,neha, ,,nashik
184,priya, ,, 
185,pratik,25,male,pune
186,priya,-,, 
187,neha, ,f,thane
188,neha,55,male,nagpur
189, , ,m,pune
190, ,-,,mumbai
191,madhuri,-,female,nagpur
192,sai,45,female,nagpur
193,pratik,,female,nashik
194,rohan,42,,pune
195,akash,-,male,pune
196,rohan,24,,nashik
197,rohan, ,m,mumbai
198,sai,,,pune
199,pratik,-,male,nashik
200,meera,,,nagpur
201,pratik, ,female,thane
202,sai,,m,thane
203, ,-,male,nashik
204,meera,,f,thane
205,pratik, ,m,nagpur
206,neha,50,,mumbai
207,meera,26,f,nagpur
208,meera,-,,nashik
209,rohan,-,male, 
210,rohan, ,female,nashik
211,meera,34,m, 
212,madhuri,,female,nagpur
213,meera, ,male,thane
214, ,,male,pune
215,rohan,,male,nagpur
216, ,,,pune
217,pratik,27,f,pune
218,sai,,female,mumbai
219,rohan,-,,nashik
220,priya,-,,mumbai
221,rohan,37,m,thane
